id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
15483,2.736664,tcp,-,FIN,232,438,13350,548216,244.458211,31,29,38858.98828,1598924.75,21,197,11.845558,6.261361,4449.110313,3234.831566,255,486483908,492604340,255,0.000558,0.000444,0.000114,58,1252,0,0,11,0,5,2,1,5,0,0,0,4,10,0,Normal,0
133350,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,Generic,1
80486,5.788526,tcp,-,FIN,36,34,6102,3892,11.920133,254,252,8199.668945,5221.36377,13,13,165.386453,172.34575,8561.040438,249.950547,255,3835852222,201002858,255,0.158826,0.057902,0.100924,170,114,0,0,4,1,2,1,1,4,0,0,0,2,4,0,Exploits,1
29973,3.849634,tcp,-,FIN,448,858,25160,1094788,338.993271,31,29,52169.11719,2272451.0,38,390,8.669644,4.496707,4053.08602,2918.730804,255,2802824152,661443578,255,0.000558,0.000448,0.00011,56,1276,0,0,9,0,3,2,1,6,0,0,0,2,9,0,Normal,0
18340,0.001052,udp,dns,CON,2,2,130,162,2851.711087,31,29,494296.5938,615969.625,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,3,0,4,1,1,1,0,0,0,3,3,0,Normal,0
170501,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,34,2,25,25,12,34,0,0,0,25,34,0,Generic,1
165831,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,9,9,9,9,0,0,0,9,9,0,Generic,1
55216,1.465899,tcp,-,FIN,34,16,28660,814,33.426587,254,252,151814.0,4169.455078,14,3,43.671909,91.675734,3963.321277,125.553867,255,3680557040,590273867,255,0.140336,0.090759,0.049577,843,51,0,0,6,1,1,1,1,4,0,0,0,2,4,0,Fuzzers,1
37757,0.034137,tcp,smtp,FIN,52,42,37492,3380,2724.316772,31,29,8617278.0,773354.4375,18,8,0.689755,0.819268,42.179459,1.804168,255,4019493883,1875135451,255,0.000667,0.000542,0.000125,721,80,0,0,1,0,2,1,1,1,0,0,0,2,1,0,Normal,0
22161,0.022733,tcp,-,FIN,48,50,2958,33044,4266.92489,31,29,1019487.125,11396297.0,7,18,0.477085,0.452469,25.926994,26.607684,255,2991578167,3016560789,255,0.000682,0.000559,0.000123,62,661,0,0,6,0,2,1,1,3,0,0,0,2,5,0,Normal,0
108232,1.008568,st2,-,INT,4,0,360,0,2.974514,254,0,2141.650146,0.0,0,0,336.189344,0.0,475.433625,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,DoS,1
117169,1e-05,unas,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,DoS,1
100043,0.935165,tcp,-,FIN,14,12,774,642,26.733251,254,252,6150.786133,5038.683105,4,3,70.344695,80.192367,4331.012656,114.148,255,2235169008,3564158083,255,0.108777,0.053047,0.05573,55,54,0,0,3,1,1,1,1,3,0,0,0,1,3,0,Normal,0
164616,0.628938,tcp,-,FIN,10,8,672,354,27.02969,254,252,7695.511719,3943.154785,2,1,67.662778,76.505859,3950.174903,143.374063,255,761387674,2553412688,255,0.164335,0.093388,0.070947,67,44,0,0,6,1,3,3,2,5,0,0,0,4,4,0,Fuzzers,1
133423,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,17,2,17,17,17,17,0,0,0,18,17,0,Generic,1
