proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,reconstruction_error,is_anomaly,severity,threshold,attack_type
tcp,-,FIN,232,438,13350,548216,244.458211,31,29,0.027501,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.208177,1,CRITICAL,0.05,Generic
tcp,-,FIN,36,34,6102,3892,11.920133,254,252,0.059934,1,LOW,0.05,Exploits
tcp,-,FIN,448,858,25160,1094788,338.993271,31,29,0.033064,0,NORMAL,0.05,Normal
udp,dns,CON,2,2,130,162,2851.711087,31,29,0.014842,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.08636,1,MEDIUM,0.05,Generic
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.25365,1,CRITICAL,0.05,Generic
tcp,-,FIN,34,16,28660,814,33.426587,254,252,0.182085,1,HIGH,0.05,Fuzzers
tcp,smtp,FIN,52,42,37492,3380,2724.316772,31,29,0.041973,0,NORMAL,0.05,Normal
tcp,-,FIN,48,50,2958,33044,4266.92489,31,29,0.030342,0,NORMAL,0.05,Normal
st2,-,INT,4,0,360,0,2.974514,254,0,0.069399,1,LOW,0.05,DoS
unas,-,INT,2,0,200,0,100000.0025,254,0,0.170659,1,HIGH,0.05,DoS
tcp,-,FIN,14,12,774,642,26.733251,254,252,0.043568,0,NORMAL,0.05,Normal
tcp,-,FIN,10,8,672,354,27.02969,254,252,0.171422,1,HIGH,0.05,Fuzzers
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.156054,1,HIGH,0.05,Generic
udp,-,CON,4,4,536,304,4067.402792,31,29,0.032308,0,NORMAL,0.05,Normal
tcp,-,FIN,22,8,20964,354,98.179282,254,252,0.134175,1,HIGH,0.05,DoS
tcp,http,FIN,10,10,814,4216,14.829627,62,252,0.097823,1,MEDIUM,0.05,Exploits
tcp,-,FIN,10,6,534,268,65.857643,254,252,0.012361,0,NORMAL,0.05,Normal
tcp,http,FIN,10,6,862,268,19.856346,254,252,0.183163,1,HIGH,0.05,DoS
tcp,smtp,FIN,246,52,301541,3212,157.448928,62,252,0.146791,1,HIGH,0.05,Exploits
udp,-,INT,2,0,1064,0,250000.0006,254,0,0.144759,1,HIGH,0.05,Fuzzers
irtp,-,INT,2,0,200,0,142857.1409,254,0,0.230865,1,CRITICAL,0.05,Exploits
tcp,-,FIN,22,24,2054,2478,541.346864,31,29,0.017425,0,NORMAL,0.05,Normal
tcp,smtp,FIN,40,22,32398,1838,40.305291,62,252,0.133472,1,HIGH,0.05,Exploits
tcp,-,FIN,12,10,1058,834,19.637914,254,252,0.2789,1,CRITICAL,0.05,Fuzzers
udp,-,CON,4,4,520,304,4146.919314,31,29,0.006437,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.131462,1,HIGH,0.05,Generic
udp,dns,CON,2,2,132,164,2840.909069,31,29,0.023668,0,NORMAL,0.05,Normal
vmtp,-,INT,2,0,200,0,1000000.003,254,0,0.263327,1,CRITICAL,0.05,DoS
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.179837,1,HIGH,0.05,Generic
tcp,smtp,FIN,340,68,426724,3720,133.214894,62,252,0.234362,1,CRITICAL,0.05,Exploits
any,-,INT,2,0,200,0,111111.1072,254,0,0.193245,1,HIGH,0.05,Exploits
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.200439,1,CRITICAL,0.05,Generic
udp,dns,CON,2,2,130,162,2923.976572,31,29,0.034022,0,NORMAL,0.05,Normal
udp,-,INT,2,0,104,0,111111.1072,254,0,0.019622,0,NORMAL,0.05,Normal
tcp,-,FIN,12,10,1106,838,8.420033,254,252,0.148542,1,HIGH,0.05,Fuzzers
tcp,http,FIN,10,10,778,4074,52.723736,62,252,0.191191,1,HIGH,0.05,Generic
tcp,-,FIN,12,8,1036,764,21.541852,254,252,0.269735,1,CRITICAL,0.05,Fuzzers
cpnx,-,INT,2,0,200,0,100000.0025,254,0,0.260263,1,CRITICAL,0.05,Exploits
sctp,-,CON,4,2,536,440,30.629935,254,60,0.215355,1,CRITICAL,0.05,Exploits
tcp,-,FIN,10,6,656,268,19.328452,254,252,0.032128,0,NORMAL,0.05,Normal
ospf,-,INT,20,0,1040,0,40.760375,254,0,0.094975,1,MEDIUM,0.05,Exploits
